File,Signal,Fan-in,Fan-out,Gate Count,Logic Depth
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$178,3.0,3.0,3.0,3.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$179,3.0,3.0,3.0,3.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$180,3.0,3.0,3.0,3.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$181,3.0,3.0,3.0,3.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$182,3.0,3.0,3.0,3.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$183,4.0,4.0,4.0,4.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$184,4.0,4.0,4.0,4.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$185,4.0,4.0,4.0,4.0
parallel2serial.v,$abc$177$auto$blifparse.cc:396:parse_blif$186,3.0,3.0,3.0,3.0
parallel2serial.v,$auto$ff.cc:266:slice$137,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$138,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$139,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$140,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$141,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$142,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$148,4.0,4.0,4.0,4.0
parallel2serial.v,$auto$ff.cc:266:slice$149,4.0,4.0,4.0,4.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10000,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10001,2.0,2.0,2.0,2.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10002,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10003,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10004,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10005,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10006,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10007,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10008,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10009,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10010,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10011,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10012,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10013,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10014,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10015,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10016,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10017,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10018,3.0,3.0,3.0,3.0
pe.v,$abc$6932$auto$blifparse.cc:396:parse_blif$10019,3.0,3.0,3.0,3.0
